Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
AdminCompleteFlow,Chrome 75.0.3770.100,,2019-06-26 17:19:44,2019-06-26 17:37:32,17m - 48.019s,FAILED
,,,,,,
Test Cases/property(owner),Chrome 75.0.3770.100,,2019-06-26 17:19:45,2019-06-26 17:24:37,4m - 51.819s,PASSED
faker = new com.github.javafaker.Faker(),Chrome 75.0.3770.100,,2019-06-26 17:19:46,2019-06-26 17:19:46,0.334s,PASSED
ownerfirst = name().firstName(),Chrome 75.0.3770.100,,2019-06-26 17:19:46,2019-06-26 17:19:46,0.007s,PASSED
ownermiddle = name().firstName(),Chrome 75.0.3770.100,,2019-06-26 17:19:46,2019-06-26 17:19:46,0.002s,PASSED
ownerlast = name().firstName(),Chrome 75.0.3770.100,,2019-06-26 17:19:46,2019-06-26 17:19:46,0.001s,PASSED
ownerphcode = address().countryCode(),Chrome 75.0.3770.100,,2019-06-26 17:19:46,2019-06-26 17:19:46,0.006s,PASSED
ownermobcode = address().countryCode(),Chrome 75.0.3770.100,,2019-06-26 17:19:46,2019-06-26 17:19:46,0.001s,PASSED
owneraddress = address().streetAddress(),Chrome 75.0.3770.100,,2019-06-26 17:19:46,2019-06-26 17:19:46,0.005s,PASSED
poafirst = name().firstName(),Chrome 75.0.3770.100,,2019-06-26 17:19:46,2019-06-26 17:19:46,0.018s,PASSED
poamiddle = name().firstName(),Chrome 75.0.3770.100,,2019-06-26 17:19:46,2019-06-26 17:19:46,0.003s,PASSED
poalast = name().firstName(),Chrome 75.0.3770.100,,2019-06-26 17:19:46,2019-06-26 17:19:46,0.001s,PASSED
poaphncode = address().countryCode(),Chrome 75.0.3770.100,,2019-06-26 17:19:46,2019-06-26 17:19:46,0.008s,PASSED
poamobcode = address().countryCode(),Chrome 75.0.3770.100,,2019-06-26 17:19:46,2019-06-26 17:19:46,0.004s,PASSED
poaaddress = address().streetAddress(),Chrome 75.0.3770.100,,2019-06-26 17:19:46,2019-06-26 17:19:46,0.004s,PASSED
projectname = address().streetName(),Chrome 75.0.3770.100,,2019-06-26 17:19:46,2019-06-26 17:19:46,0.002s,PASSED
propertyaddress = address().streetAddress(),Chrome 75.0.3770.100,,2019-06-26 17:19:46,2019-06-26 17:19:46,0.005s,PASSED
"openBrowser("""")",Chrome 75.0.3770.100,,2019-06-26 17:19:46,2019-06-26 17:19:51,4.319s,PASSED
navigateToUrl(Url),Chrome 75.0.3770.100,,2019-06-26 17:19:51,2019-06-26 17:20:46,55.452s,PASSED
waitForPageLoad(10),Chrome 75.0.3770.100,,2019-06-26 17:20:46,2019-06-26 17:20:46,0.122s,PASSED
maximizeWindow(),Chrome 75.0.3770.100,,2019-06-26 17:20:46,2019-06-26 17:20:47,1.163s,PASSED
delay(3),Chrome 75.0.3770.100,,2019-06-26 17:20:47,2019-06-26 17:20:51,3.045s,PASSED
"click(findTestObject(""Object Repository/Property(owner)/individual owner/a_Sell""))",Chrome 75.0.3770.100,,2019-06-26 17:20:51,2019-06-26 17:20:51,0.373s,PASSED
waitForPageLoad(15),Chrome 75.0.3770.100,,2019-06-26 17:20:51,2019-06-26 17:20:51,0.010s,PASSED
"setText(findTestObject(""Object Repository/Property(owner)/individual owner/input_Sign In_userName""), userName)",Chrome 75.0.3770.100,,2019-06-26 17:20:51,2019-06-26 17:21:02,11.552s,PASSED
"setText(findTestObject(""Object Repository/Property(owner)/individual owner/input_Sign In_userPassword""), passWord)",Chrome 75.0.3770.100,,2019-06-26 17:21:02,2019-06-26 17:21:03,0.191s,PASSED
"click(findTestObject(""Object Repository/Property(owner)/individual owner/button_Sign In""))",Chrome 75.0.3770.100,,2019-06-26 17:21:03,2019-06-26 17:21:03,0.172s,PASSED
"setText(findTestObject(""Property(owner)/individual owner/owner/Page_Chiragh/input_First Name_userFirstName""), ownerfirst)",Chrome 75.0.3770.100,,2019-06-26 17:21:03,2019-06-26 17:21:05,2.598s,PASSED
"setText(findTestObject(""Property(owner)/individual owner/owner/Page_Chiragh/input_Middle Name_userMiddleNa""), ownermiddle)",Chrome 75.0.3770.100,,2019-06-26 17:21:05,2019-06-26 17:21:06,0.213s,PASSED
"setText(findTestObject(""Property(owner)/individual owner/owner/Page_Chiragh/input_Last Name_userLastName""), ownerlast)",Chrome 75.0.3770.100,,2019-06-26 17:21:06,2019-06-26 17:21:06,0.236s,PASSED
delay(5),Chrome 75.0.3770.100,,2019-06-26 17:21:06,2019-06-26 17:21:11,5.004s,PASSED
"click(findTestObject(""Property(owner)/individual owner/owner/Page_Chiragh/span_Emirati""))",Chrome 75.0.3770.100,,2019-06-26 17:21:11,2019-06-26 17:21:11,0.177s,PASSED
"setText(findTestObject(""Object Repository/Property(owner)/individual owner/owner/new nationality dropdown/Page_Chiragh/input""), ""Emirati"")",Chrome 75.0.3770.100,,2019-06-26 17:21:11,2019-06-26 17:21:12,0.495s,PASSED
"sendKeys(findTestObject(""Object Repository/Property(owner)/individual owner/owner/new nationality dropdown/Page_Chiragh/input""), Keys.chord(ENTER))",Chrome 75.0.3770.100,,2019-06-26 17:21:12,2019-06-26 17:21:12,0.124s,PASSED
ownerpassport = RandomStringUtils.randomNumeric(7),Chrome 75.0.3770.100,,2019-06-26 17:21:12,2019-06-26 17:21:12,0.013s,PASSED
"setText(findTestObject(""Property(owner)/individual owner/owner/Page_Chiragh/input_Passport Number_passport""), ownerpassport)",Chrome 75.0.3770.100,,2019-06-26 17:21:12,2019-06-26 17:21:12,0.289s,PASSED
"click(findTestObject(""Property(owner)/individual owner/owner/Page_Chiragh/mat-form-field_Passport Expiry""))",Chrome 75.0.3770.100,,2019-06-26 17:21:12,2019-06-26 17:21:12,0.127s,PASSED
